Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
CACÁ LEÃO;PP;Bahia;193;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.8867688;13.791108
ALEX SANTANA;PDT;Bahia;194;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;MINORIA;-12.454732;0.4007519
FÉLIX MENDONÇA JÚNIOR;PDT;Bahia;195;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Sim;MINORIA;-11.981687;1.2043529
CHARLES FERNANDES;PSD;Bahia;196;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-2.4798906;3.7257562
IGOR KANNÁRIO;PHS;Bahia;197;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não;Sim;Sim;GOVERNO;7.41496;-7.495703
ELMAR NASCIMENTO;DEM;Bahia;198;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;-16.331026;-9.69058
JOÃO ROMA;PRB;Bahia;199;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;18.622103;11.832731
LEUR LOMANTO JÚNIOR;DEM;Bahia;200;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.872701;11.673219
JOSÉ NUNES;PSD;Bahia;201;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.5436816;13.806205
JOSIAS GOMES;PT;Bahia;202;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;14.13784;16.76943
