Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
PADRE JOÃO;PT;Minas Gerais;259;Não Votou;Obstrução;Não;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-19.615194;-23.713379
PAULO GUEDES;PT;Minas Gerais;260;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Obstrução;Não;Não;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-20.027931;-21.839037
PINHEIRINHO;PP;Minas Gerais;261;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;8.800768;4.958333
ROGÉRIO CORREIA;PT;Minas Gerais;262;Não Votou;Obstrução;Não;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Abstenção;Não;Não;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-15.671358;-21.063902
PAULO ABI-ACKEL;PSDB;Minas Gerais;263;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;GOVERNO;-1.9365262;9.107572
TIAGO MITRAUD;NOVO;Minas Gerais;264;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.964754;7.2759943
VILSON DA FETAEMG;PSB;Minas Gerais;265;Não Votou;Sim;Abstenção;Não;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;OPOSIÇÃO;-27.12883;-16.78492
ZÉ VITOR;PMN;Minas Gerais;266;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;15.340986;5.6410856
STEFANO AGUIAR;PSD;Minas Gerais;267;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-6.686365;-10.313092
RODRIGO DE CASTRO;PSDB;Minas Gerais;268;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;GOVERNO;6.1104507;7.8802547
